ficheiro,epoca,texto,sentimento,score
song5_80.wav,anos_80,rimas Bring sober chambers bebés com money novembro Hello there just like this com money I'll be there,POSITIVE,0.9937999844551086
song1_80.wav,anos_80,Maria o pai make a big nice day in the street gonna be your Big man some music on Spotify Big this Grace Somebody That a Portugal,POSITIVE,0.9994925260543823
song3_80.wav,anos_80,feeling sophists Last and the Surface don't no what you respecting of me but and the Pressure vaquinha que is another mercedes-benz to be I speak english only to be,NEGATIVE,0.9621644020080566
song4_80.wav,anos_80,Imagine mean you I do I think about today night It's only right to think about the girl you love and hold your time so Happy Together e faz o cão you up in 23 minutes to verify so Happy Together I can't find my love baby I Want For Me is you And you for me so Happy Together I can see me love you baby coração Malala Minions and me now that I have that I just dance it like to be the only want for me to and you for me so Happy Together papapapa disse it be All I Want For maes you And you for me so Happy Together so Happy Together Now is the weather so bad to get down,POSITIVE,0.9890052676200867
song2_80.wav,anos_80,What song are It's Break laver All love and year Face 2 :,POSITIVE,0.9772491455078125
sond1_moderno.wav,atuais,Let It Go Don't get Rocket download Canção nova feel the love you feel the love quantos anos anexo de nós filme Mateus,POSITIVE,0.9984235763549805
song3_moderno.wav,atuais,YouTube música Tou todo mundo me gosto não é calça Jean Spring back Call Memories and Memories Bring back Memories Bring Back to the camera Banana banana tem uns 10 não me ouve lá do Samba coloca na casa de Instagram Eu quero vídeos todos juntos e é verdade Edson já vem dançar resto do mundo Jesus Jesus,POSITIVE,0.9021912813186646
song5_moderno.wav,atuais,Fogo amigo Sampaio e Anitta my phone privativa,NEGATIVE,0.9858108758926392
song2_moderno.wav,atuais,theor acapellas Ai Destino é uma monstro com MC Flex não quero baixar esse nome feat China próximo the are a Capelas,NEGATIVE,0.8579556941986084
song4_moderno.wav,atuais,,NEUTRO,0.0
